120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
92	0.758	-693.35876	1210.32312	885.48633	174.61433	3598.37866	1081.5979	455.12762	3949.41528	821.53571	195.66231	3470.00977	783.62781	57.62361	3753.49341	802.56537				1148.48638														
93	0.767	-693.36493	1210.4043	885.47864	452.65891	3949.0498	821.10785	-547.74213	715.44476	998.22412	196.82336	3466.51587	782.99133	57.86406	3749.93481	801.18976	173.59772	3594.6001	1080.6543	145.6228														
94	0.775	-693.36292	1210.61304	885.36792	172.53247	3591.87915	1079.7644	450.27539	3948.74219	821.09918	-553.88129	712.15314	1001.63324	198.07051	3463.29688	782.33173	56.09722	3745.56958	800.02844	1143.63831														
95	0.783	-693.32062	1210.62048	885.33215	448.20084	3948.57886	820.62531	199.18626	3460.8186	781.55933	54.54792	3741.16553	799.06018	171.21881	3589.28003	1079.01282				892.50688														
96	0.792	-693.31079	1210.47925	885.43878	170.03047	3585.86914	1077.91174	445.99823	3948.0564	820.87408	200.94472	3457.59985	781.16998	53.08825	3736.5415	797.76031				1139.30902														
97	0.8	-693.37335	1210.42261	885.52094	444.77719	3947.77148	821.06464	168.46289	3583.35547	1076.9364	202.19861	3455.42358	780.59991	53.90589	3734.21826	795.8244				861.83624														
98	0.808	-693.30798	1210.44971	885.42535	-549.25275	713.43085	999.18054	443.66733	3947.80688	821.00635	203.47504	3452.67505	780.49115	167.04015	3581.01318	1076.03528				1136.97531														
99	0.817	-693.38501	1210.55151	885.39056	-550.27618	713.36768	999.61041	442.62756	3947.97998	821.29852	165.74602	3578.27661	1075.0166	204.63428	3450.34399	779.89496				1136.01257														
100	0.825	-693.32587	1210.57214	885.35333	-552.87408	711.86261	1000.92749	440.76202	3947.46606	821.63159	205.75645	3447.86499	779.92712	164.40839	3575.53735	1074.15796				1134.08789														
101	0.833	-693.30182	1210.42761	885.44452	-547.42133	715.08374	998.15302	440.28601	3947.94336	821.37805	162.72838	3573.35156	1073.03552	207.23288	3446.11206	779.52863				1133.58783														
102	0.842	-693.31818	1210.36719	885.47131	-549.18268	713.60083	999.12329	438.57486	3947.91772	821.59576	208.43573	3444.27148	779.34155	161.30476	3571.60962	1071.80249				1131.89304														
103	0.85	-693.35687	1210.43457	885.43787	436.7247	3947.47168	821.93695	-717.31006	1088.70776	905.89496	209.74911	3442.2749	779.12756	159.98654	3569.06982	1070.68433				-23.95319														
104	0.858	-693.29462	1210.52881	885.34576	-547.64764	715.32477	998.16943	436.30634	3947.62256	821.75513	210.38693	3440.68677	779.16522	158.22043	3566.86719	1069.73877	35.76691	3699.84619	787.34204	1129.60096														
105	0.867	-693.36456	1210.57385	885.3703	-547.23627	715.2229	998.05383	436.37112	3948.38794	821.73163										1129.73568														
106	0.875	-693.39172	1210.4696	885.41608	-550.29749	713.73895	999.55725	434.88629	3948.14844	821.94879										1128.27801														
107	0.883	-693.29956	1210.39856	885.49023	433.19818	3947.87915	822.22028	30.98515	3688.48926	782.50336										724.28471														
108	0.892	-693.34961	1210.49036	885.40442	-551.91241	712.90161	1000.35974	434.01944	3948.84131	821.88208	29.3695	3685.41309	780.73431	151.1252	3560.34253	1064.22705				1127.36905														
109	0.9	-693.34125	1210.51294	885.35907	433.44775	3948.97217	821.89825	27.91666	3681.59937	779.33929										721.25791														
110	0.908	-693.36261	1210.5376	885.3653	26.24084	3678.5708	777.57208	432.31775	3949.04761	821.92926	-551.83429	712.85645	1000.33514	147.1134	3557.48926	1061.21948				1125.68036														
111	0.917	-693.34595	1210.46021	885.41553	24.98211	3675.11938	775.88837	432.20334	3949.66309	822.06482	145.05666	3556.37378	1059.55969	-549.83282	713.27631	999.44403				1125.54929														
112	0.925	-693.34625	1210.41589	885.46881	23.65276	3672.22144	774.14038	431.573	3949.90747	822.3042	-547.49902	714.86707	998.22119	143.0704	3554.92261	1058.17517				1124.91925														
113	0.933	-693.34882	1210.50439	885.41125	21.96331	3669.51563	772.6759	429.43085	3949.36841	822.63989	140.95538	3553.81738	1056.50952	-550.27618	713.36768	999.61041				1122.77967														
114	0.942	-693.37628	1210.50537	885.41077	20.51215	3667.07153	771.02179	429.2952	3949.80444	822.63367	-550.23517	714.58862	999.3905	138.66188	3552.6499	1054.98608				1122.67148														
115	0.95	-693.3653	1210.58264	885.37524	19.31093	3664.59326	768.95636	429.64359	3950.85474	822.56519	136.44279	3551.37207	1053.37463	-547.16077	716.09412	997.87726				1123.00889														
116	0.958	-693.31018	1210.46594	885.42236	17.63012	3662.10693	767.23474	429.14474	3951.21216	822.59967	-549.59143	714.17432	999.15869	134.08728	3550.29199	1051.87341				1122.45492														
117	0.967	-693.33685	1210.40674	885.44623	15.89038	3659.93701	765.578	428.66599	3951.89624	822.52252	131.97925	3549.60327	1050.55737	-548.2937	714.98157	998.52777				1122.00284														
118	0.975	-693.32434	1210.53601	885.35681	14.20246	3657.85278	763.66846	428.58426	3952.60425	822.54913	-550.91443	713.0838	999.91968	-716.41681	1088.29382	904.79279	129.64787	3548.99683	1048.82739	1121.9086														
119	0.983	-693.34106	1210.5481	885.36072	12.84793	3655.64478	761.95178	427.10648	3952.28003	822.73572	126.93512	3548.91992	1047.09888	-549.47913	714.25427	999.44574				1120.44754														
120	0.992	-693.37036	1210.46033	885.4068	11.75967	3654.10547	760.50909	425.13098	3952.06079	822.82843	-548.80524	714.68176	998.7876	124.25845	3548.69214	1045.71973				1118.50134														
